party	support	year	month
kesk	0.24	2015	3
ref	0.28	2015	3
vaba	0.12	2015	3
ekre	0.09	2015	3
sde	0.17	2015	4
irl	0.1	2015	4
kesk	0.26	2015	4
ref	0.22	2015	4
vaba	0.18	2015	4
ekre	0.08	2015	4
sde	0.13	2015	5
irl	0.09	2015	5
kesk	0.31	2015	5
ref	0.18	2015	5
vaba	0.20	2015	5
ekre	0.14	2015	5
sde	0.18	2015	6
irl	0.09	2015	6
kesk	0.28	2015	6
ref	0.16	2015	6
vaba	0.19	2015	6
ekre	0.09	2015	6
sde	0.14	2015	8
irl	0.1	2015	8
kesk	0.29	2015	8
ref	0.21	2015	8
vaba	0.17	2015	8
ekre	0.09	2015	8
sde	0.15	2015	9
irl	0.09	2015	9
kesk	0.29	2015	9
ref	0.21	2015	9
vaba	0.11	2015	9
ekre	0.06	2015	9
sde	0.14	2015	10
irl	0.08	2015	10
kesk	0.27	2015	10
ref	0.19	2015	10
vaba	0.14	2015	10
ekre	0.1	2015	10
sde	0.13	2015	11
irl	0.08	2015	11
kesk	0.33	2015	11
ref	0.17	2015	11
vaba	0.11	2015	11
ekre	0.09	2015	11
sde	0.14	2015	12
irl	0.07	2015	12
kesk	0.25	2015	12
ref	0.2	2015	12
vaba	0.13	2015	12
ekre	0.1	2015	12
